"MARKA","TSB_MODEL","SIFIR_MODEL","KAYNAK","MASTER_MODEL_ADI"
"BMW","i3s LOFT (184)","","TSB",""
"BMW","i3s SUITE (184)","","TSB",""
"BMW","","İ4","HER İKİSİ",""
"BMW","i4 EDRIVE40","","TSB",""
"BMW","i4 M50","","TSB",""
"BMW","","İ5","HER İKİSİ",""
"BMW","i5 EDRIVE40","","TSB",""
"BMW","i5 EDRIVE40 LUXURY LINE (160KW)","","TSB",""
"BMW","i5 M60","","TSB",""
"BMW","i5 XDRIVE40","","TSB",""
"BMW","i5 XDRIVE40 LUXURY LINE (290 KW)","","TSB",""
"BMW","i5 XDRIVE40 TOURING","","TSB",""
"BMW","","İ7","HER İKİSİ",""
"BMW","i7 EDRIVE50","","TSB",""
"BMW","i7 M70","","TSB",""
"BMW","i7 XDRIVE60","","TSB",""
"BMW","i7 XDRIVE60 PURE EXCELLENCE","","TSB",""
"BMW","i8","","TSB",""
"BMW","i8 PURE","","TSB",""
"BMW","i8 ROADSTAR","","TSB",""
"BMW","i8 ROADSTER","","TSB",""
"BMW","","İX","HER İKİSİ",""
"BMW","iX M60","","TSB",""
"BMW","iX M70","","TSB",""
"BMW","iX XDRIVE40 FIRST","","TSB",""
"BMW","iX XDRIVE50","","TSB",""
"BMW","iX XDRIVE50 FIRST","","TSB",""
"BMW","iX XDRIVE60","","TSB",""
"BMW","","İX1","HER İKİSİ",""
"BMW","iX1 EDRIVE20","","TSB",""
"BMW","iX1 EDRIVE20 X-LINE","","TSB",""
"BMW","iX1 XDRIVE30","","TSB",""
"BMW","iX1 XDRIVE30 X-LINE","","TSB",""
"BMW","","İX2","SIFIR",""
"BMW","iX2 EDRIVE20","","TSB",""
"BMW","","İX3","SIFIR",""
"BMW","iX3 EDRIVE20 IMPRESSIVE","","TSB",""
"BMW","iX3 EDRIVE30 IMPRESSIVE","","TSB",""
"BMW","iX3 IMPRESSIVE","","TSB",""
"BMW","iX3 LCI IMPRESSIVE","","TSB",""
"BMW","iX3 xDRIVE50","","TSB",""
"BMW","M","","TSB",""
"BMW","M135i","","TSB",""
"BMW","M2","","TSB",""
"BMW","","M2 Coupe","SIFIR",""
"BMW","M2 CS","","TSB",""
"BMW","M235i","","TSB",""
"BMW","M240i","","TSB",""
"BMW","M240i (340)","","TSB",""
"BMW","M3","","TSB",""
"BMW","M3 COMPETITION","","TSB",""
"BMW","M3 CS","","TSB",""
"BMW","","M3 Sedan","SIFIR",""
"BMW","M3 TOURING","M3 Touring","HER İKİSİ",""
"BMW","M3 TOURING CS","","TSB",""
"BMW","M340d","","TSB",""
"BMW","M340i","","TSB",""
"BMW","M4","","TSB",""
"BMW","","M4 Cabrio","SIFIR",""
"BMW","M4 COMPETITION","","TSB",""
"BMW","","M4 Coupe","SIFIR",""
"BMW","M4 CS","","TSB",""
"BMW","M4 CSL","","TSB",""
"BMW","M440i","","TSB",""
"BMW","M5","M5","HER İKİSİ",""
"BMW","M5 CS","","TSB",""
"BMW","M5 TOURING","M5 Touring","HER İKİSİ",""
"BMW","M550d","","TSB",""
"BMW","M550d XDRIVESEDAN","","TSB",""
"BMW","M550i","","TSB",""
"BMW","M6","","TSB",""
