marka_kodu,tip_kodu,arac_yili,kasko_degeri,veri_yili,veri_ay
8,1012,2014,7495547,2026,6
8,1012,2013,7079923,2026,6
8,1012,2012,6156190,2026,6
8,1013,2015,9137635,2026,6
8,1013,2014,8174410,2026,6
8,1013,2013,7658794,2026,6
8,1013,2012,7346853,2026,6
8,1014,2012,5620338,2026,6
8,1015,2012,6578239,2026,6
8,1016,2017,18492405,2026,6
8,1016,2016,15287988,2026,6
8,1016,2015,13826816,2026,6
8,1016,2014,12808004,2026,6
8,1017,2017,16386472,2026,6
8,1017,2016,12178153,2026,6
8,1017,2015,10628747,2026,6
8,1018,2022,25389203,2026,6
8,1018,2021,21984913,2026,6
8,1018,2020,21365469,2026,6
8,1018,2019,19483300,2026,6
8,1018,2018,16758426,2026,6
8,1018,2017,15862342,2026,6
8,1018,2016,11088563,2026,6
8,1019,2012,732628,2026,6
8,1020,2022,41294478,2026,6
8,1020,2021,35368976,2026,6
8,1020,2020,34165648,2026,6
8,1020,2019,33823991,2026,6
8,1020,2018,33479553,2026,6
8,1021,2023,25069381,2026,6
8,1021,2022,18340683,2026,6
8,1021,2021,16635913,2026,6
8,1021,2020,16069922,2026,6
8,1021,2019,15347980,2026,6
8,1021,2018,13850316,2026,6
8,1022,2019,27260411,2026,6
8,1023,2018,13628835,2026,6
8,1025,2021,22280239,2026,6
8,1025,2020,21522213,2026,6
8,1025,2019,16443488,2026,6
8,1026,2021,18118466,2026,6
8,1026,2020,17556170,2026,6
8,1027,2021,18418331,2026,6
8,1028,2020,24642112,2026,6
8,1028,2019,22738479,2026,6
8,1029,2018,14139914,2026,6
8,1030,2023,29375655,2026,6
8,1030,2022,16804241,2026,6
8,1031,2024,41461148,2026,6
8,1031,2023,41046538,2026,6
8,1031,2022,38528527,2026,6
8,1032,2016,15113389,2026,6
8,1033,2023,37315023,2026,6
8,1034,2023,40173195,2026,6
8,1035,2023,51166738,2026,6
8,1036,2023,62879785,2026,6
8,1037,2024,52250710,2026,6
8,1038,2025,80157041,2026,6
9,187,2012,3943244,2026,6
9,256,2012,817955,2026,6
9,264,2012,2427315,2026,6
